tag,artigo,grupo,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692,694,696,698,700,702,704,706,708,710,712,714,716,718,720,722,724,726,728,730,732,734,736,738,740
1B,1,1,20.24,19.24,18.58,18.32,17.45,16.99,16.53,15.66,15.2,14.47,13.93,13.34,13.2,12.61,12.35,11.75,11.41,11.15,10.88,10.48,10.22,9.82,9.62,9.35,9.36,9.16,8.83,8.49,8.43,8.23,8.1,7.9,7.77,7.63,7.57,7.43,7.23,7.17,07.04,7.1,7.17,7.17,7.18,7.18,7.18,7.18,7.18,7.18,7.17,7.17,7.23,7.36,7.37,7.43,7.5,7.57,7.77,7.89,7.96,8.1,8.3,8.43,8.56,8.69,8.96,9.23,9.42,9.62,9.88,10.22,10.48,10.75,10.95,11.21,11.54,11.88,12.14,12.34,12.54,12.87,13.34,13.47,13.73,14.07,14.2,14.26,14.46,14.53,14.6,14.73,14.8,14.67,14.53,14.4,14.36,14,13.67,13.27,13.01,12.74,12.41,12.01,11.61,11.08,10.75,10.42,10.02,9.69,9.29,8.96,8.63,8.3,7.9,7.63,7.3,6.97,6.7,6.37,6.17,5.77,5.51
3,3,2,19.8,19.28,18.74,18.42,17.54,16.97,16.28,15.94,15.36,14.99,14.75,14.51,14.33,14.27,14.24,14.19,14.24,14.3,14.49,14.47,14.61,14.73,14.9,15.2,15.22,15.25,15.32,15.42,15.53,15.56,15.57,15.48,15.31,15.28,15.11,14.93,14.73,14.36,14.07,13.76,13.46,13.24,12.65,12.33,12.24,12.13,11.84,11.53,11.31,11.24,11.13,10.95,10.87,10.78,10.75,10.7,10.7,10.67,10.67,10.67,10.67,10.66,10.66,10.64,10.64,10.64,10.53,10.5,10.44,10.38,10.21,10.1,9.87,9.72,9.57,9.24,9.21,8.98,8.78,8.35,8.18,08.04,7.7,7.44,7.3,07.01,6.7,6.49,6.29,06.06,5.92,5.78,5.48,5.35,5,4.87,4.8,4.81,4.46,4.34,4.23,4.1,3.97,3.83,3.71,3.55,3.42,3.4,3.18,3.17,03.04,2.97,2.89,2.83,2.81,2.63,2.54,2.51,2.44,2.34,2.31
4A,4,2,10.58,10.1,9.65,9.39,09.06,8.97,8.79,8.47,8.42,8.33,8.15,8.2,8.18,8.16,8.2,8.29,8.37,8.47,8.71,8.84,8.99,9.35,9.57,9.79,10.18,10.54,10.76,10.89,11.08,11.2,11.26,11.28,11.22,11.12,10.9,10.56,10.42,9.99,9.83,9.54,9.18,8.9,8.5,8.49,8.18,08.03,7.94,7.74,7.61,7.57,7.54,7.48,7.52,7.57,7.59,7.7,7.75,08.03,8.2,8.33,8.36,8.47,8.66,8.8,8.84,8.95,8.94,8.87,8.85,8.71,8.58,8.33,8.3,8.12,7.85,7.61,7.37,7.13,6.85,6.6,6.36,5.85,5.65,5.54,5.32,4.86,4.76,4.68,4.47,4.15,04.09,3.79,3.69,3.55,3.43,3.34,3.19,03.04,2.97,2.86,2.69,2.58,2.47,2.4,2.33,2.27,2.18,2.16,02.08,02.04,1.95,1.87,1.83,1.74,1.72,1.63,1.61,1.58,1.54,1.5,1.48
4B,4,2,9.27,09.06,8.89,8.68,8.61,8.54,8.47,8.48,8.48,8.49,8.61,8.66,8.82,09.03,9.24,9.31,9.27,9.57,9.8,10.16,10.45,10.58,10.8,11.07,11.14,11.35,11.44,11.71,11.83,11.85,11.9,11.9,11.85,11.81,11.72,11.53,11.35,11.08,10.86,10.66,10.5,10.21,10.17,9.71,9.46,9.25,9.11,8.89,8.82,8.79,8.73,8.68,8.68,8.75,8.83,8.97,9.11,09.09,9.16,9.3,9.6,9.67,9.81,9.95,10.03,9.96,9.94,9.91,9.87,9.8,9.36,9.11,8.76,8.73,8.63,8.21,8.13,7.21,07.07,6.72,6.29,06.02,5.93,5.71,5.1,4.89,4.75,4.69,4.42,4.3,04.05,3.91,3.55,3.41,3.2,3.12,2.98,2.91,2.81,2.75,2.64,2.5,2.43,2.28,2.21,2.16,2.15,1.99,1.92,1.83,1.86,1.79,1.72,1.7,1.66,1.58,1.54,1.51,1.5,1.44,1.38
4C,4,2,9.46,8.72,8.69,8.5,8.31,8.16,08.08,08.09,7.97,08.05,08.09,8.12,8.31,8.46,8.61,8.85,9.18,9.45,9.8,10.39,10.99,11.35,11.61,11.65,12.56,13.25,13.84,14.04,14.35,15.03,15.26,15.56,15.58,15.94,15.99,15.57,15.39,15.41,14.62,14.54,13.97,13.01,12.42,11.88,11.17,11.24,10.78,10.67,10.41,10.25,10.03,9.95,9.87,9.95,9.99,10.06,10.21,10.64,10.99,11.23,11.28,11.85,11.88,12.3,12.27,12.78,12.79,12.87,12.98,12.96,12.83,12.78,12.42,12.38,11.89,11.23,11.28,10.46,10.17,9.51,9.21,8.74,8.44,8.14,7.55,7.13,6.84,6.3,6.12,5.77,5.4,5.52,5.29,4.91,4.64,4.57,4.23,04.04,3.88,3.69,3.62,3.51,3.21,3.17,03.03,2.85,2.82,2.71,2.67,2.61,2.5,2.37,2.26,2.25,2.2,2.1,02.03,02.02,1.9,1.8,1.78
5A,5,1,4.47,4.36,4.3,04.08,04.02,3.96,3.97,04.02,04.03,04.08,4.13,4.19,4.36,4.58,4.41,4.69,4.8,05.03,5.25,5.36,5.75,6.1,6.43,6.6,6.99,7.31,8,8.67,8.96,9.47,10.14,10.53,11.04,11.82,12.76,13.11,13.9,14.46,14.96,15.59,15.98,16.48,16.76,17.05,17.1,17.16,17.04,16.82,16.32,15.9,15.27,15.06,14.22,13.59,12.97,12.33,11.71,11.29,10.66,10.24,9.61,9.29,8.84,7.93,7.51,7.3,6.88,6.64,6.25,06.04,5.86,5.41,5.24,4.99,4.84,4.78,4.57,4.36,04.06,3.89,3.72,3.55,3.49,3.44,3.31,3.3,3.1,2.87,2.82,2.71,2.59,2.68,2.43,2.37,2.31,2.26,2.14,02.09,02.03,1.97,1.92,1.86,1.81,1.75,1.72,1.69,1.58,1.52,1.47,1.46,1.45,1.44,1.43,1.42,1.41,1.41,1.41,1.39,1.38,1.36,1.35
5B,5,1,20.24,19.81,19.39,18.96,18.71,18.37,18.13,18.02,17.91,17.68,17.79,17.56,17.28,17.21,17.16,17.1,16.98,16.87,16.64,16.41,16.07,15.84,15.72,15.04,14.7,14.25,13.79,13.56,13.1,12.76,12.19,11.73,11.62,11.27,11.16,10.82,10.47,10.24,10.13,10.02,9.79,9.57,9.56,9.44,9.44,9.55,9.56,9.78,9.89,10.01,10.68,10.46,10.8,11.37,11.48,11.71,11.84,12.51,12.96,13.3,14.1,14.33,14.89,15.46,16.03,16.94,17.51,18.31,19.11,19.67,20.58,20.81,21.61,22.29,22.97,23.43,23.54,24.11,24.23,24.34,24.46,24.45,24.43,24.01,23.87,23.16,23.08,22.39,21.89,21.36,20.2,19.77,19.35,18.51,18.08,17.65,16.81,16.39,15.54,15.11,14.53,13.85,13.43,13.01,12.12,11.73,11.43,10.75,10.18,9.95,9.49,9.15,8.92,8.35,8.12,7.95,7.78,7.55,7.49,07.07,6.75
5C,5,1,9.64,9.69,9.8,9.84,9.92,10.19,10.39,10.67,11.06,11.34,11.69,12.05,12.4,12.59,12.71,12.91,12.95,12.87,12.68,12.52,12.24,11.96,11.69,11.26,10.94,10.27,10.19,9.96,9.65,9.41,9.25,09.09,8.89,8.85,8.82,8.89,8.97,09.02,9.13,9.45,9.57,9.84,10.23,10.39,10.78,11.26,11.88,12.01,12.2,12.84,13.27,13.81,14.33,14.92,15.35,15.78,16.53,16.81,17.52,17.87,18.38,18.58,18.78,19.09,19.17,19.33,19.37,19.25,19.21,18.93,18.66,18.62,18.18,17.75,17.32,16.85,16.46,15.67,15.43,14.72,14.25,13.81,13.22,12.95,12.59,11.89,11.37,10.83,10.67,10.31,9.84,9.37,9.11,8.81,8.38,08.09,7.79,7.52,7.36,6.96,6.85,6.57,6.37,6.18,5.94,5.75,5.61,5.46,5.32,05.08,05.02,4.88,4.73,4.45,4.37,4.29,4.21,4.17,04.02,3.82,3.74
5D,5,1,14.45,14.35,14.36,14.04,14.12,14.21,14.37,14.54,14.62,14.79,14.87,14.95,15.13,15.21,15.37,15.46,15.37,15.29,15.13,14.96,14.79,14.46,13.97,13.71,13.55,12.8,12.64,11.97,11.23,10.65,10.23,9.98,9.32,8.73,8.24,08.08,7.57,6.99,6.91,6.74,6.41,6,5.91,5.84,5.34,5.26,5.17,05.09,4.84,4.75,4.67,4.75,4.51,4.59,4.34,4.1,4.26,4.43,4.34,4.43,4.51,4.76,4.68,4.84,4.93,4.93,5.1,5.35,5.43,5.68,5.76,06.02,6.35,6.68,6.85,07.02,7.18,7.59,08.02,8.34,8.68,8.84,9.51,9.85,10.18,10.51,10.84,11.09,11.51,11.76,12.34,12.59,12.84,13.18,13.26,13.43,13.51,13.59,13.6,13.68,13.59,13.43,13.18,12.85,12.68,12.35,12.1,12.02,11.44,11.12,10.69,10.53,10.11,9.78,9.56,9.25,8.92,8.6,8.27,7.96,7.63
