artigo,grupo,tag,molecules,smiles,Formula molecular,Massa molar,lambda max linear (nm),mu01 (D),mu12 (D),mu13 (D),deltamu01 (D),Seção de choque(GM),solvente,simetria,Bandas TPA,doi
1,1,1A,(E)-chalcone,O=C(C1=CC=CC=C1)/C=C/C2=CC=CC=C2,C15H12O,208.25,308,6.24,5.29,0,3.93,9,methanol,Asymmetric,1,https://doi.org/10.1016/j.cplett.2016.02.009
1,1,1B,(E)-3-(4-methoxyphenyl)-1-phenylprop-2-en-1-one,O=C(C1=CC=CC=C1)/C=C/C2=CC=C(OC)C=C2,C16H14O2,238.28,343,3.38,7.62,0,7.87,14,methanol,Asymmetric,1,https://doi.org/10.1016/j.cplett.2016.02.009
2,,2," 1E,4E-1-(4-chlorophenyl)-5-(2,6,6- trimethylcyclohexen-1-yl)penta-1,4-dien-3-one",O=C(/C=C/C1=C(C)CCCC1(C)C)/C=C/C2=CC=C(Cl)C=C2,C20H23ClO,314.84,328,NA,NA,NA,NA,32,dmso,Asymmetric,1,https://doi.org/10.1016/j.saa.2018.06.099
3,2,3,(E)-3-(2-bromophenyl)-1-(2-((phenylsulfonyl)amine))phenyl)prop-2-en-1-one (BRC),O=C(C1=CC=CC=C1NS(=O)(C2=CC=CC=C2)=O)/C=C/C3=CC=CC=C3Br,C21H16BrNO3SNa,442.32,315,7.6,4.4,4.4,3.1,17,dmso,Asymmetric,2,https://doi.org/10.1021/acs.jpcc.9b01063
4,2,4A,(E)-3-(2-chlorophenyl)-1-(2-(phenylsulfonylamine)phenyl)prop-2-en-1-one,O=C(C1=CC=CC=C1NS(=O)(C2=CC=CC=C2)=O)/C=C/C3=CC=CC=C3Cl,C21H16ClNO3S,397.87,318,6.4,4,4,4.6,12,dmso,Asymmetric,2,https://doi.org/10.1016/j.molstruc.2019.126896
4,2,4B,(E)-3-(2-fluoro-phenyl)-1-(2-(phenylsulfonylamine) phenyl)prop-2-en-1-one,O=C(C1=CC=CC=C1NS(=O)(C2=CC=CC=C2)=O)/C=C/C3=CC=CC=C3F,C21H16FNO3S,381.42,318,7.2,4.4,4.5,3.8,12,dmso,Asymmetric,2,https://doi.org/10.1016/j.molstruc.2019.126896
4,2,4C,(E)-3-(4-fluorophenyl)-1-(2-(phenyl sulfonylamine)phenyl)prop-2-en-1-one ,O=C(C1=CC=CC=C1NS(=O)(C2=CC=CC=C2)=O)/C=C/C3=CC=C(F)C=C3,C21H16FNO3S,381.42,318,6.5,4.4,4.5,6.5,15,dmso,Asymmetric,2,https://doi.org/10.1016/j.molstruc.2019.126896
5,1,5A,(E)-1-(4-methoxyphenyl)-3-phenylprop-2-en-1-one,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=CC=C2,C16H14O2,238.28,315,9.2,2,0,3.4,17,dcm,Symmetric,1,https://doi.org/10.1016/j.saa.2019.117772
5,1,5B,"(E)-1,3-bis(4-methoxyphenyl)prop-2-en-1-one",O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=C(OC)C=C2,C17H16O3,268.31,338,9.4,2.3,2,3.9,24,dcm,Symmetric,2,https://doi.org/10.1016/j.saa.2019.117772
5,1,5C,"(E)-1-(benzo[d][1,3]dioxol-5-yl)-3-(4-methoxyphenyl) prop-2-en-1-one",O=C(C1=CC=C(OCO2)C2=C1)/C=C/C3=CC=C(OC)C=C3,C17H14O4,282.29,345,5.2,3.1,3.6,6.9,20,dcm,Asymmetric,2,https://doi.org/10.1016/j.saa.2019.117772
